timestamp,datetime,pwm_right,vel_right
1757616573.0998929,2025-09-11 15:49:33.099,200,0.2
1757616573.1313653,2025-09-11 15:49:33.131,200,0.2
1757616573.1525595,2025-09-11 15:49:33.152,200,0.2
1757616573.1841078,2025-09-11 15:49:33.184,200,0.2
1757616573.2157264,2025-09-11 15:49:33.215,200,0.21
1757616573.2470303,2025-09-11 15:49:33.247,200,0.21
1757616573.2784488,2025-09-11 15:49:33.278,200,0.21
1757616573.2996755,2025-09-11 15:49:33.299,200,0.21
1757616573.330873,2025-09-11 15:49:33.330,200,0.21
1757616573.3620121,2025-09-11 15:49:33.362,200,0.21
1757616573.393166,2025-09-11 15:49:33.393,200,0.21
1757616573.4243898,2025-09-11 15:49:33.424,200,0.21
1757616573.4456923,2025-09-11 15:49:33.445,200,0.23
1757616573.4770494,2025-09-11 15:49:33.477,200,0.23
1757616573.508321,2025-09-11 15:49:33.508,200,0.23
1757616573.5395272,2025-09-11 15:49:33.539,200,0.23
1757616573.570739,2025-09-11 15:49:33.570,200,0.22
1757616573.601878,2025-09-11 15:49:33.601,200,0.22
1757616573.6230574,2025-09-11 15:49:33.623,200,0.22
1757616573.6535294,2025-09-11 15:49:33.653,200,0.22
1757616573.6846366,2025-09-11 15:49:33.684,200,0.22
1757616573.715765,2025-09-11 15:49:33.715,200,0.22
1757616573.747015,2025-09-11 15:49:33.747,200,0.22
1757616573.768246,2025-09-11 15:49:33.768,200,0.22
1757616573.799542,2025-09-11 15:49:33.799,200,0.22
1757616573.8308496,2025-09-11 15:49:33.830,200,0.22
1757616573.862151,2025-09-11 15:49:33.862,200,0.22
1757616573.8935697,2025-09-11 15:49:33.893,200,0.22
1757616573.9148033,2025-09-11 15:49:33.914,200,0.22
1757616573.946319,2025-09-11 15:49:33.946,200,0.22
1757616573.977775,2025-09-11 15:49:33.977,200,0.22
1757616574.0090706,2025-09-11 15:49:34.009,200,0.22
1757616574.0401242,2025-09-11 15:49:34.040,200,0.22
1757616574.0612442,2025-09-11 15:49:34.061,200,0.22
1757616574.0924668,2025-09-11 15:49:34.092,200,0.22
1757616574.123722,2025-09-11 15:49:34.123,200,0.22
1757616574.1551414,2025-09-11 15:49:34.155,200,0.22
